SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2017-18,All+Star,D. Saric - B. Simmons - B. Hield - J. Murray - L. Markkanen,WLD,1,3,162.5,100.0,62.5,66.7,0.00,33.3,0.0,80.0,57.1,0.0,81.3,81.3,118.83,66.7,0,0
2017-18,All+Star,G. Dragic - P. George - K. Walker - B. Beal - A. Drummond,LBN,1,3,85.7,142.9,-57.1,33.3,1.00,12.5,0.0,100,40.0,0.1,50.0,50.0,125.22,20.0,0,0
2017-18,All+Star,J. Harden - S. Curry - K. Thompson - G. Antetokounmpo - J. Embiid,STP,1,3,166.7,70.0,96.7,40.0,0.00,14.3,50.0,100,66.7,0.0,59.1,63.1,149.51,72.1,0,0
2017-18,All+Star,G. Dragic - P. George - B. Beal - A. Drummond - V. Oladipo,LBN,1,2,33.3,116.7,-83.3,0.0,0.00,0.0,0.0,50.0,25.0,0.2,20.0,20.0,129.92,-33.3,0,0
2017-18,All+Star,J. Brown - D. Smith Jr. - D. Mitchell - J. Collins - K. Kuzma,USA,1,2,100.0,100.0,0.0,100,3.00,30.0,33.3,66.7,50.0,0.2,50.0,50.0,178.14,52.0,0,0
2017-18,All+Star,K. Dunn - J. Brown - J. Tatum - D. Mitchell - J. Collins,USA,1,2,80.0,50.0,30.0,50.0,0.00,16.7,0.0,100,50.0,0.0,50.0,50.0,142.42,85.7,0,0
2017-18,All+Star,L. Aldridge - P. George - B. Beal - A. Drummond - V. Oladipo,LBN,1,2,140.0,160.0,-20.0,33.3,0.00,14.3,33.3,33.3,33.3,0.0,58.3,58.3,119.01,33.3,0,0
2017-18,All+Star,L. James - K. Durant - G. Dragic - P. George - A. Davis,LBN,1,2,125.0,175.0,-50.0,50.0,0.00,16.7,33.3,0.0,20.0,0.0,50.0,50.0,103.78,20.0,0,0
2017-18,All+Star,L. James - K. Durant - R. Westbrook - K. Irving - K. Walker,LBN,1,2,300.0,66.7,233.3,100,0.00,42.9,100,0.0,25.0,0.0,112.5,112.5,92.90,95.8,0,0
2017-18,All+Star,L. James - L. Aldridge - K. Durant - B. Beal - V. Oladipo,LBN,1,2,166.7,200.0,-33.3,100,0.00,40.0,0.0,0.0,0.0,0.0,83.3,83.3,110.77,41.9,0,0
2017-18,All+Star,P. George - K. Irving - B. Beal - A. Drummond - V. Oladipo,LBN,1,2,160.0,88.9,71.1,33.3,0.00,15.4,25.0,100,57.1,0.0,80.0,80.0,194.04,72.0,0,0
2017-18,All+Star,B. Bogdanovic - B. Hield - F. Ntilikina - L. Markkanen - D. Brooks,WLD,1,1,50.0,66.7,-16.7,0.0,0.00,0.0,0.0,50.0,33.3,0.3,33.3,38.7,196.36,28.6,0,0
2017-18,All+Star,B. Bogdanovic - B. Simmons - F. Ntilikina - L. Markkanen - D. Brooks,WLD,1,1,180.0,120.0,60.0,100,4.00,44.4,0.0,66.7,66.7,0.2,112.5,112.5,169.41,77.8,0,0
2017-18,All+Star,G. Dragic - P. George - K. Walker - A. Drummond - V. Oladipo,LBN,1,1,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,100,33.3,0.0,0.0,0.0,144.00,-100.0,0,0
2017-18,All+Star,J. Harden - S. Curry - K. Thompson - D. Green - K. Towns,STP,1,1,66.7,200.0,-133.3,100,0.00,20.0,50.0,0.0,50.0,0.0,33.3,33.3,128.57,27.3,0,0
2017-18,All+Star,K. Dunn - T. Prince - J. Brown - J. Tatum - K. Kuzma,USA,1,1,66.7,200.0,-133.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,50.0,167.44,16.7,0,0
2017-18,All+Star,L. James - K. Durant - R. Westbrook - G. Dragic - K. Irving,LBN,1,1,0.0,100.0,-100.0,0.0,0.00,0.0,50.0,0.0,50.0,0.5,0.0,0.0,144.00,-166.7,0,0
2017-18,All+Star,L. James - K. Durant - R. Westbrook - G. Dragic - K. Walker,LBN,1,1,100.0,0.0,100.0,100,2.00,28.6,0.0,100,75.0,0.2,83.3,83.3,190.59,150.0,0,0
2017-18,All+Star,L. James - K. Durant - R. Westbrook - K. Irving - A. Drummond,LBN,1,1,66.7,150.0,-83.3,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,50.0,135.85,33.3,0,0
2017-18,All+Star,L. James - L. Aldridge - K. Durant - R. Westbrook - K. Irving,LBN,1,1,200.0,66.7,133.3,0.0,0.00,0.0,0.0,50.0,50.0,0.0,100,100,128.57,72.7,0,0
2017-18,All+Star,L. James - R. Westbrook - G. Dragic - P. George - K. Walker,LBN,1,1,100.0,40.0,60.0,100,2.00,33.3,0.0,66.7,57.1,0.3,66.7,66.7,162.00,100,0,0
2017-18,All+Star,R. Westbrook - G. Dragic - P. George - K. Walker - A. Drummond,LBN,1,1,100.0,300.0,-200.0,100,1.00,33.3,0.0,0.0,0.0,0.5,100,100,130.91,40.0,0,0
2017-18,All+Star,T. Prince - J. Brown - J. Tatum - D. Mitchell - K. Kuzma,USA,1,1,100.0,200.0,-100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.3,150.0,150.0,205.71,28.6,0,0
2017-18,All+Star,J. Harden - S. Curry - D. DeRozan - K. Thompson - J. Embiid,STP,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.58,0.0,0,0
2017-18,All+Star,K. Dunn - T. Prince - D. Fox - J. Tatum - J. Collins,USA,1,0,200.0,0.0,200.0,0.0,0.00,0.0,100,0.0,100,0.0,50.0,50.0,115.20,100,0,0
2017-18,All+Star,K. Lowry - A. Horford - K. Thompson - D. Lillard - K. Towns,STP,1,0,0.0,0.0,0.0,0.0,0.00,0.0,100,0.0,100,0.0,0.0,0.0,85.71,100,0,0
2017-18,All+Star,K. Lowry - J. Harden - D. DeRozan - D. Green - G. Antetokounmpo,STP,1,0,0.0,200.0,-200.0,0.0,0.00,0.0,100,0.0,100,1.0,0.0,0.0,146.44,-33.3,0,0
2017-18,All+Star,L. James - K. Durant - R. Westbrook - G. Dragic - A. Davis,LBN,1,0,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.00,-100.0,0,0
2018-19,All+Star,S. Curry - P. George - K. Walker - G. Antetokounmpo - J. Embiid,-,1,14,128.9,133.3,-4.4,57.1,4.00,21.8,25.0,86.7,51.4,0.1,60.0,59.9,130.45,46.5,0,0
2018-19,All+Star,D. Fox - J. Tatum - D. Mitchell - J. Collins - K. Kuzma,-,1,9,142.9,129.6,13.2,72.2,4.33,30.2,22.2,75.0,47.1,0.1,74.1,74.1,153.79,54.9,0,0
2018-19,All+Star,B. Bogdanovic - B. Simmons - L. Markkanen - D. Ayton - L. Doncic,-,1,8,100.0,132.0,-32.0,54.5,0.86,18.8,25.0,87.5,56.3,0.3,63.2,63.2,150.13,32.4,0,0
2018-19,All+Star,L. James - K. Durant - J. Harden - K. Irving - D. Lillard,-,1,7,143.8,68.8,75.0,55.6,5.00,23.8,0.0,56.3,42.9,0.1,82.1,82.1,114.34,90.5,0,0
2018-19,All+Star,L. James - K. Durant - J. Harden - K. Irving - K. Leonard,-,1,7,110.0,133.3,-23.3,55.6,1.67,19.2,11.1,87.5,47.1,0.1,58.3,59.7,138.59,35.7,0,0
