SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2016-17,playoffs,-,06/01/2017,L,48,6,13,9,30,21,18,27,56,0
2016-17,playoffs,-,05/25/2017,W,48,12,8,20,50,16,7,27,38,0
2016-17,playoffs,-,05/25/2017,L,48,16,7,27,38,12,8,20,50,0
2016-17,playoffs,-,05/23/2017,W,48,15,8,16,58,17,10,4,34,0
2016-17,playoffs,-,05/23/2017,L,48,17,10,4,34,15,8,16,58,0
2016-17,playoffs,-,05/22/2017,W,48,4,10,32,52,24,8,22,50,0
2016-17,playoffs,-,05/22/2017,L,48,24,8,22,50,4,10,32,52,0
2016-17,playoffs,-,05/21/2017,W,48,14,18,6,36,5,13,2,24,0
2016-17,playoffs,-,05/21/2017,L,48,5,13,2,24,14,18,6,36,0
2016-17,playoffs,-,05/20/2017,W,48,20,11,10,50,25,18,23,62,0
2016-17,playoffs,-,05/20/2017,L,48,25,18,23,62,20,11,10,50,0
2016-17,playoffs,-,05/19/2017,W,48,23,12,24,40,10,13,11,42,0
2016-17,playoffs,-,05/19/2017,L,48,10,13,11,42,23,12,24,40,0
2016-17,playoffs,-,05/17/2017,W,48,17,15,8,52,9,15,17,50,0
2016-17,playoffs,-,05/17/2017,L,48,9,15,17,50,17,15,8,52,0
2016-17,playoffs,-,05/16/2017,W,48,30,9,20,46,23,15,13,44,0
2016-17,playoffs,-,05/16/2017,L,48,23,15,13,44,30,9,20,46,0
2016-17,playoffs,-,05/15/2017,W,48,17,7,6,58,9,9,17,40,0
2016-17,playoffs,-,05/15/2017,L,48,9,9,17,40,17,7,6,58,0
2016-17,playoffs,-,05/14/2017,W,48,31,17,32,42,28,13,12,56,0
2016-17,playoffs,-,05/14/2017,L,48,28,13,12,56,31,17,32,42,0
2016-17,playoffs,-,05/12/2017,W,48,15,16,8,48,12,5,17,26,0
2016-17,playoffs,-,05/12/2017,L,48,12,5,17,26,15,16,8,48,0
2016-17,playoffs,-,05/11/2017,W,48,22,15,6,62,4,7,6,18,0
2016-17,playoffs,-,05/11/2017,L,48,4,7,6,18,22,15,6,62,0
2016-17,playoffs,-,05/10/2017,W,48,23,14,19,46,12,19,14,46,0
2016-17,playoffs,-,05/10/2017,L,48,12,19,14,46,23,14,19,46,0
2016-17,playoffs,-,05/09/2017,W,53,18,19,14,56,12,16,21,42,0
2016-17,playoffs,-,05/09/2017,L,53,12,16,21,42,18,19,14,56,0
2016-17,playoffs,-,05/08/2017,W,48,14,11,19,40,15,11,4,46,0
2016-17,playoffs,-,05/08/2017,L,48,15,11,4,46,14,11,19,40,0
2016-17,playoffs,-,05/07/2017,W,48,15,6,16,32,9,11,0,36,0
2016-17,playoffs,-,05/07/2017,W,48,34,22,25,56,21,10,12,38,0
2016-17,playoffs,-,05/07/2017,W,48,17,18,15,52,12,13,18,62,0
2016-17,playoffs,-,05/07/2017,L,48,9,11,0,36,15,6,16,32,0
2016-17,playoffs,-,05/07/2017,L,48,12,13,18,62,17,18,15,52,0
2016-17,playoffs,-,05/07/2017,L,48,21,10,12,38,34,22,25,56,0
2016-17,playoffs,-,05/06/2017,W,48,12,12,7,34,4,4,5,38,0
2016-17,playoffs,-,05/06/2017,L,48,4,4,5,38,12,12,7,34,0
2016-17,playoffs,-,05/05/2017,W,48,19,11,9,40,25,18,9,38,0
2016-17,playoffs,-,05/05/2017,W,48,3,15,5,38,11,4,6,50,0
2016-17,all-star,-,02/19/2017,W,48,25,23,106,120,30,14,107,106,0
2016-17,all-star,-,02/19/2017,L,48,30,14,107,106,25,23,106,120,0
2016-17,all-star,-,02/17/2017,W,40,13,17,20,50,18,6,19,36,0
2016-17,all-star,-,02/17/2017,W,40,28,18,41,84,15,16,36,70,0
2016-17,all-star,-,02/17/2017,L,40,18,6,19,36,13,17,20,50,0
2016-17,all-star,-,02/17/2017,L,40,15,16,36,70,28,18,41,84,0
2017-18,pre-season,-,10/13/2017,W,48,11,15,3,34,13,8,5,30,0
2017-18,pre-season,-,10/13/2017,W,48,15,0,10,42,22,0,9,32,0
2017-18,pre-season,-,10/13/2017,W,48,9,0,23,42,16,0,14,32,0
2017-18,pre-season,-,10/13/2017,W,48,19,0,4,60,18,0,5,36,0
2017-18,pre-season,-,10/13/2017,W,48,32,0,9,50,11,0,6,36,0
2017-18,pre-season,-,10/13/2017,W,48,28,0,5,46,8,0,5,42,0
2017-18,pre-season,-,10/13/2017,W,48,22,0,15,48,21,0,10,42,0
2017-18,pre-season,-,10/13/2017,W,48,29,0,20,54,14,0,11,44,0
