SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ
2024-25,ist,-,3,1,238.9,9.0,4.8,52.8,23.0,39.1,0.0,39.1,0
2024-25,ist,-,1,3,237.2,8.0,4.8,59.4,24.5,32.7,0.3,33.0,0
2024-25,ist,-,0,4,231.0,12.3,7.0,57.1,30.8,39.8,1.8,42.2,0
2024-25,ist,-,2,2,228.1,5.3,3.8,71.4,18.5,28.4,0.5,29.2,0
2024-25,ist,-,2,2,227.7,8.5,5.0,58.8,20.5,41.5,0.5,42.5,0
2024-25,ist,-,3,2,228.0,11.0,6.0,54.5,25.8,42.6,1.0,44.4,0
2024-25,ist,-,2,2,227.7,9.3,7.5,81.1,22.8,40.7,0.8,42.0,0
2024-25,ist,-,3,1,240.1,12.3,7.0,57.1,26.8,45.8,0.8,47.1,0
2024-25,ist,-,3,2,233.4,13.6,7.6,55.9,30.8,44.2,0.8,45.3,0
2024-25,ist,-,4,2,232.9,12.2,6.2,50.7,32.3,37.6,1.0,38.8,0
2024-25,ist,-,0,4,223.5,9.5,6.3,65.8,20.0,47.5,0.5,48.7,0
2024-25,ist,-,2,2,220.4,10.8,6.3,58.1,26.8,40.2,0.5,41.0,0
2024-25,ist,-,2,2,213.3,7.8,5.3,67.7,14.3,54.4,0.5,56.4,0
