SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2016-17,regular-season,UTA,82,51,31,48.2,67.3,32.7,54.3,11.8,28.7,8.1,17.0,14.6,42.5,45.4,54.6,80.0,20.0,54.4,45.6
2016-17,regular-season,WAS,82,49,33,48.4,71.6,28.4,58.8,17.6,25.3,14.6,15.9,16.2,41.2,49.6,50.4,86.0,14.0,57.7,42.3
2016-17,regular-season,OKC,82,47,35,48.3,70.5,29.5,58.2,11.4,23.8,15.8,18.0,14.7,46.8,46.6,53.4,77.3,22.7,53.2,46.8
2016-17,regular-season,ATL,82,43,39,48.5,69.1,30.9,56.6,15.2,25.9,11.8,17.5,15.8,41.4,54.2,45.8,87.9,12.1,62.1,37.9
2016-17,regular-season,MEM,82,43,39,48.5,68.4,31.6,53.8,13.5,27.9,10.1,18.3,16.0,40.3,50.4,49.6,81.6,18.4,58.4,41.6
2016-17,regular-season,IND,82,42,40,48.4,72.8,27.2,58.3,18.4,24.7,10.1,17.0,15.8,39.8,49.8,50.2,83.6,16.4,57.2,42.8
2016-17,regular-season,MIL,82,42,40,48.2,71.0,29.0,57.9,11.0,25.4,13.3,16.6,16.7,46.9,53.4,46.6,92.9,7.1,62.4,37.6
2016-17,regular-season,CHI,82,41,41,48.2,74.4,25.6,60.4,18.3,22.2,13.4,17.5,15.2,42.1,51.3,48.7,87.5,12.5,58.4,41.6
2016-17,regular-season,MIA,82,41,41,48.2,68.6,31.4,56.6,12.8,28.7,10.8,14.8,15.4,43.8,42.7,57.3,89.1,10.9,54.4,45.6
2016-17,regular-season,POR,82,41,41,48.6,67.8,32.2,54.0,14.8,28.9,10.5,17.1,13.6,39.2,44.4,55.6,78.9,21.1,53.4,46.6
2016-17,regular-season,DEN,82,40,42,48.2,67.1,32.9,54.7,10.1,28.5,12.7,16.8,12.6,44.6,52.6,47.4,87.1,12.9,61.5,38.5
2016-17,regular-season,DET,82,37,45,48.3,73.7,26.3,63.5,20.9,22.8,11.8,13.7,14.7,42.6,45.5,54.5,84.5,15.5,53.0,47.0
2016-17,regular-season,CHA,82,36,46,48.4,66.5,33.5,52.8,14.7,28.7,9.0,18.5,14.2,38.0,54.5,45.5,79.5,20.5,61.1,38.9
2016-17,regular-season,NOP,82,34,48,48.5,69.2,30.8,57.1,14.8,26.9,14.4,16.0,14.0,42.3,50.3,49.7,83.5,16.5,58.2,41.8
2016-17,regular-season,DAL,82,33,49,48.2,63.4,36.6,52.1,18.6,32.8,7.9,15.1,16.1,33.5,47.4,52.6,81.3,18.7,57.4,42.6
2016-17,regular-season,SAC,82,32,50,48.5,70.9,29.1,56.2,14.3,26.2,10.4,17.6,15.8,41.9,50.6,49.4,87.7,12.3,59.4,40.6
2016-17,regular-season,MIN,82,31,51,48.3,75.1,24.9,60.9,17.6,20.8,12.1,18.3,15.8,43.2,53.5,46.5,88.5,11.5,60.0,40.0
2016-17,regular-season,NYK,82,31,51,48.4,72.1,27.9,59.4,20.7,24.7,10.4,15.9,13.8,38.7,46.9,53.1,84.5,15.5,55.1,44.9
2016-17,regular-season,ORL,82,29,53,48.3,70.0,30.0,58.8,17.1,25.4,13.9,15.8,14.8,41.8,49.5,50.5,87.6,12.4,58.0,42.0
2016-17,regular-season,PHI,82,28,54,48.4,65.1,34.9,53.7,10.5,29.7,12.6,16.6,16.9,43.3,54.1,45.9,87.7,12.3,63.1,36.9
2016-17,regular-season,LAL,82,26,56,48.1,70.5,29.5,58.2,12.5,25.5,14.5,16.3,16.6,45.6,46.2,53.8,77.4,22.6,53.2,46.8
2016-17,regular-season,PHX,82,24,58,48.4,74.5,25.5,60.1,16.1,20.9,18.0,19.0,16.4,44.1,42.1,57.9,79.0,21.0,49.1,50.9
2016-17,regular-season,BKN,82,20,62,48.2,62.9,37.1,51.3,7.9,30.3,13.2,18.4,14.2,43.4,45.4,54.6,85.1,14.9,56.6,43.4
2016-17,playoffs,GSW,17,16,1,48.0,62.2,37.8,50.7,13.5,32.0,17.6,17.4,15.1,37.2,62.5,37.5,73.6,26.4,65.8,34.2
2016-17,playoffs,CLE,18,13,5,48.0,59.2,40.8,46.0,10.0,36.7,11.0,17.3,12.9,35.9,43.7,56.3,73.0,27.0,53.9,46.1
2016-17,playoffs,BOS,18,9,9,48.3,59.0,41.0,48.8,8.6,36.3,11.9,14.9,15.2,40.2,60.6,39.4,89.5,10.5,70.2,29.8
2016-17,playoffs,SAS,16,8,8,48.6,71.8,28.2,58.7,15.6,24.0,12.5,17.3,17.0,43.1,43.5,56.5,89.1,10.9,53.3,46.7
