SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PERC,AST_TO_PASS_PERC_ADJ
2020-21,regular-season,-,36,36,241.4,284.7,284.8,23.5,2.6,41.4,60.5,27.8,8.2,9.8,0
2020-21,regular-season,-,48,24,241.7,277.3,277.3,26.8,3.3,47.6,69.5,32.5,9.7,11.7,0
2020-21,regular-season,-,33,39,241.0,304.8,304.8,26.8,3.7,49.3,70.1,33.2,8.8,10.9,0
2020-21,regular-season,-,31,41,241.4,291.0,291.3,26.8,3.9,48.6,68.1,32.7,9.2,11.2,0
2020-21,regular-season,-,22,50,242.1,303.1,303.0,23.8,3.0,45.1,60.6,29.5,7.9,9.7,0
2020-21,regular-season,-,42,30,240.3,274.9,274.8,22.9,3.2,43.2,59.2,27.6,8.3,10.0,0
2020-21,regular-season,-,47,25,242.8,295.3,295.3,26.8,4.1,48.3,68.6,32.9,9.1,11.1,0
2020-21,regular-season,-,20,52,242.1,287.2,287.3,24.2,2.3,45.7,62.5,28.5,8.4,9.9,0
2020-21,regular-season,-,39,33,240.3,307.5,307.4,27.7,4.5,49.6,71.1,34.2,9.0,11.1,0
2020-21,regular-season,-,17,55,240.3,277.1,277.1,23.6,3.0,46.7,61.3,28.3,8.5,10.2,0
2020-21,regular-season,-,34,38,242.4,307.6,307.6,27.4,3.1,48.0,70.8,33.2,8.9,10.8,0
2020-21,regular-season,-,47,25,240.0,281.0,281.0,24.4,3.8,43.1,64.0,29.8,8.7,10.6,0
2020-21,regular-season,-,42,30,242.4,303.4,303.4,24.7,4.1,46.0,63.1,31.0,8.1,10.2,0
2020-21,regular-season,-,38,34,241.7,279.1,279.1,26.9,3.7,46.7,66.6,32.2,9.6,11.5,0
2020-21,regular-season,-,40,32,241.4,285.2,285.2,26.3,2.7,51.4,69.0,31.6,9.2,11.1,0
2020-21,regular-season,-,46,26,240.7,254.8,254.8,25.5,2.6,46.7,66.2,30.2,10.0,11.8,0
2020-21,regular-season,-,23,49,241.7,295.6,295.6,25.6,3.0,49.3,67.1,31.3,8.7,10.6,0
2020-21,regular-season,-,31,41,242.1,291.6,291.5,26.0,3.2,46.5,66.3,31.9,8.9,11.0,0
2020-21,regular-season,-,41,31,242.1,276.2,276.2,21.4,2.1,39.4,55.6,25.1,7.7,9.1,0
2020-21,regular-season,-,22,50,241.0,286.1,286.1,22.1,2.8,42.9,56.8,26.6,7.7,9.3,0
2020-21,regular-season,-,21,51,240.7,269.5,269.5,21.8,2.5,43.7,56.7,26.4,8.1,9.8,0
2020-21,regular-season,-,49,23,242.1,308.0,307.9,23.7,3.2,42.0,62.0,29.2,7.7,9.5,0
